,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
36,everyday,dev…,epidem,insid,articl,baltimor,ceasefir,2013,nation,1st,wearingorang,awar,click,vote,ottawa,consid,addit,restrict,curb,pac,elect,liar,owe,wi,arethey,rs,bc…,calcul,voic,futur,bec…,truth,speak,behind,nomoreknifecrime…,runrun,lost,step,violenc,hate,nra,head,fire,gun,citi,toronto,stop,spin,gunreformnow,faithfortoronto
37,supposedli,morpheusni,capac,‘every’,mervyn’,squar,violenc,close,prevent,oppos,ford,paid,call,american,break,respect,2a,els,bail,pictur,baltimor,ceasefir,tackl,politician,nra,twitter,eh,queen,tomilahren,martyr,"feeling
with",liter,gun,speak,davidhogg111,pleas,it’,threaten,"
repeal2a","good

guncontrolnow",lie,emma4chang,bow,arrow,"

enough","momsdemand

gunreformnow",stop,reduc,this👇,🐂💩
38,leadership…,poor,tek,poppyshow,wi,"lololololololololol
dem",fi,stem,cunt,sadli,reform,financ,uh,dude,viol…,comment,lose,somebodi,unblock,another…,gu…,young,anyth,mad,ceasefir,letter,ignor,control,protest,violent,john,especi,campaign,issu,america,congress,tackl,baltimor,mari,behalf,⁦claontario⁩,harf,senjoniernst,mattxr,gun,politician,togeth,"can
amthechangeiwant
zambia",chicago,gunreformnow
39,suck,dougford,everyon,normal,laura,sentenc,thug,foxnew,prevent,ceasefir,baltimor,blame,key,mayb,realcandaceo,ingram,aireor,cross,somebodi,keesmaatformayor,banhand,dougthethugfordwantsthemonthestreet,terror,stop,savag,advoc,citi,arm,"
endnow",studi,peopl,gun,tackl,shoot,blair,chicago,violent,violenc,ap,fordnat,youthpoweract,jeunesseenergieact,lauraloom,plz,,2ndprint,“stop,axisofevil,powertothepeopl,nfl
40,elect,law,stuf,children,tech,reignofapril,countri,nra,symbol,dream,✨✨✨,grate,nancyflanagan,ignor,nytim,togeth,address,johntori,communityanyon,purg,toronto,violenc,gsu18,deal,citi,safe,control,🤷🏽‍♀️,brunswick,million,tire,canadian,changetheref,❤️❤️❤️❤️❤️❤️❤️,,solv,american,fredericton,garbageisland,prisonplanet,⁦charliekirk11⁩,love,almost,momsdemand,gun,canada,mysho,"sugodmgabagani

gun",abort,chicago
41,victim,approach,cnn,countri,abc,write,“”,state,catherin,mcdonald,,marla4peac,american,citi,famili,wow,issu,toronto,fordnat,lost,stevesandell53b,reduc,shoot,support,phillym,speak,spend,sjacobspet,fall,expectu,enoughisenough,brunswick,upset,goe,fight,kgb5776,nbcnightlynew,👏🏻👏🏻👏🏻👏🏻👇🏻👇🏻👇🏻👇🏻👇🏻,momsdemand,jesu,dat,gsu18,"shadychabot
so",chicago,misunderstood,gun,amen,👏❤️🙏,inspir,canada
42,toronto,weapon,a…,epidem,foxnew,domest,american,congress,steve,fact,road,perkasi,protest,hand,iastartinglin,iowa,issu,politician,that’,bro❗️,honor,polic,caus,freak,justintrudeau,law,strict,children,believ,🇺🇸,shoot,1000,canada,nra,gsu18,fedex,struggl,dloesch,🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁🍁,😡😡😡😡😡😡,😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,govrickett,true,rahm,heartbreak,liar,hahahahhaha,control,chicago,
43,anyth,poverti,stem,relat,commun,women,survivor,the…,economicallyilliter,gsu18,fredericton,bless,peac,meaningfu…,last,point,countri,owner,could,children,🇨🇦we,fredericton❤️,nra,drug,dougcjohnson,heat,momsdemand,minut,nomor,hahahahahahaahahhaahhahahahahahaahahahahahahahahahbringdownnra,equiti,inclusionmatt,hornyvat,condon,control,chica…,pr,justintrudeau,america,crime,except,host,untru,amaz,law,endgunviolencenow,"
👇🏻👇🏻👇🏻👇🏻👇🏻",gun,chicago,govrickett
44,mark,us,affect,i…,peopl,trinityresist,jerilryan,esti,activists…,chicagowakeup,faithfortoronto,nation,serv,republican,ingrahamangl,murder,lttrouncedespottrumpgmailcomgt…,protest,america,safeti,from…,fordnat,an…,justintrudeau,polic,amarch4ourl,victim,,happen,toronto,canada,rid,keep,real,countri,t…,senat,prevent,boundari,action,law,everi,gun,chicago,power,endfamilyfir,govrickett,votect,🙏🏻😓,terror
45,plan,bkeenan27,5sossafespac,davidhogg111,nrabloodmoney,mouth,suggest,white,democrat,safe,return,fordnat,folk,tackl,"
than","
and","a
",prevent,gsu18,mayor,ok,ford,victim,beer,canada,stop,cobiagroup,🤮🤡🔥👺🐊🤬,45wantsnosolutionsonlychao,shoot,♥️,support,dloesch,eh,he,familyfir,dobe,gun,idiot,ramoncontrera,nra,,ltbumpgt,💪🏽❤️,govrickett,charliekirk11,tip,realdonaldtrump,harriet,chicago
46,law,statist,indi…,barackobama,legit,indiana,presid,idiot,familiar,highlight,capitol,ugh,due,presiden…,crime,causing…,stand,momsdemand,stupid,tire,lynch,whine,movita,movitajh,iron,rileyasfuck,shoot,lucywins2018,ask,possibl,spend,movement,troll,fix,sourc,kirk,fo…,lcretain40,gun,proud,he,crimin,sound,web,,im,canada,peopl,hooray,chicago
47,be…,"

faithfortoronto",tori,"
faithgoldyfortoronto
topoli",foxnew,plan,polic,bellamouse1121,trump,holebu…,citi,crimin,happen,counti,concern,perkasi,natl,shepnewsteam,virginia,dawn,fredericton,mayor,davidhogg111,safeti,thank…,cnn,race,send,studi,thought,practic,polit,capitolfax,school,nra,billoreilli,eventu,problem,food,pritzker,chicago,longer,exactli,,🤔👍👍👍,🔥🔥,🤦‍♀️🤦‍♀️🤦‍♀️,whoa,ye,gun
