,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
362,2014,theme,interesect,pleas,polit,chicago,off🙄,gang,thug,kens5eyewit,plaza,survey,joaquin,way,whine,littl,vicar,fight,robin,march,chees,dana,shoot,children,firearm,tini,violin,control,wannab,town,america,yesterday,save,william,violent,schill,louder,nra,survivor,"lives
waymorethanreport",epidem,violenc,gun,im,minim,hun,endgunviol,👌🏼,yep,stop
363,intentions…,selfserv,tribut,ive,grab,imaginari,socialismkil,daili,no…,intoler,solv,negro,justli,🇺🇸,articl,domest,start,threat,000,indacloudss,kehyaa,philli,toward,protest,walshfreedom,hometown,blackvoic,t…,conservativeind,law,ontario,chang,jillsey11,amdahlcm,state,ban,anyon,safeti,marchonnra,richli,"dramatic

",losser,jimmacmillan,deserv,,phillyinquir,lynch,chicago,obamaday,nra
364,anti,trump,polit,violenc,😂😂😂,govern,domest,74,gunrel,shot,mate,firearm,marchonnra,rhodandragon,jillsey11,walshfreedom,amdahlcm,chicago,perspect,takethatdoctor,preval,right,jne,alx,nobodi,control,denver,counterprotest,gun,davidhogg111,kylekashuv,evil,issu,arnoldschwarzenegg,former,space,mmm,dloesch,crime,compani,protest,lordesway,flake,acab,endchildpovertynow,booksnotbullet,cw,snow,kid,nra
365,mani,murder,mass,america,safer,act,violenc,short,tori,t…,translat,town,loon,commonfact,alternativefact,senseless,"chicago

how",popey,gop,convers,coward,chat,johnwoodrowcox,chicago,pointless,jpederson2728,poop,violenc…,solut,safeti,alyssamilano,"

figures

marchonnra",profit,,support,shoot,votedemocrat,bluetsunami,whiteprivileg,amend,step,charliekirk11,anti,marchonnra,march,protest,the…,gun,nra,😀😊😀
366,must,chicagomurdercount,act,ameri…,hillaryclinton,bengazi,metro,patriot,tote,fascist,fight,"
we",davidhogg111,street,doesnt,shot,til,hint,halt,operat…,paper,activist,bridg,throwback,li…,offic,conservativeind,held,impact,popul,help,the…,chicago,emma4chang,reduc,crime,march,marchforourl,someth,info,gun,may,long,,send,year,nra,marchonnra,😂😂😂👍,capsarcastica
367,mani,sick,mass,visit,ndp,andreahorwath,ontario,templesurgeri,talent,emigr,stevehank,flee,threat,law,conserv,well,march,backward,organ,threaten,relat,that…,protest,prevent,politibunni,taken,birthday,skill,3dprint,7000,dee,tweedl,prioriti,drug,lpac2017,giftsandtal,afraid,gun,alyssarsbn,weird,quit,craft,brewer,chicago,shoot,turnout,joaquin,lmaooooooooooooooo,sandyhook,nra
368,prevent,member,ryanafourni,great,wish,b…,afford,pretti,w…,call,gop,confer,shot,youth,must,nation,dedic,politibunni,shannonrwatt,buffalo,hypocrit,lost,marchonnrawi,becom,joke,provinc,saveourelect,"
bluetsunami2018",bluewave2018,citi,act,alon,don’t,presid,murphi,erin,o…,drug,caus,press,neverbowti,,wors,care,left,trump,nra,wayne300,womensmarch,never
369,taken,s…,declar,vega,johnnyb0112,"
i",dear,mckerrow,josh,joshua,total,wield,mere,special,shoot,senseless,chang…,parkland,won’t,dloesch,xenaarchi,answer,politician,poor,38,dcampoamor,"sambova
☮️🇺🇸🧡❤️","agree
god",without…,big,human,"snowflake
that’",⁦dloesch⁩,violenc,"prefer
horrif",resid,brownegretchen,gunsensecandid,kharyp,andyfox0412,ryanafourni,turn,endgunviol,powertothepol,gun,"head

i",chicago,lindalroseymom,nra,lisa
370,gamersports8386,march,destruct,world,form,discrimin,brutal,something…,hug,sandy…,issu,☺️,senseless,answer,nbcnew,ralli,stanc,csra,local,bs,msd,shirt,maroon,solutionsthank,onwurd,offer,b…,live,epidem,barackobama,violenc,welfar,farmer,stop,qualiti,spi,madisonsnel,prayer,support,proud,victim,matter,gotta,,nra,content,chicago,gun,dailycal,marchonnra
371,protect,kenjocon,gavinmcinn,defend,i’ll,gang,lost,due,district,luetkemeyerb,se…,unitedwa,unitewa,liber,slip,neighbor,dailycal,protest,cops…,18th,joaquin,law,ralli,peopl,meanwhil,norm,shelton…,blake,japan,rare,agenda,ryanafourni,children,fatherless,rucku,polit,tie,place,chicago,nra,gun,violenc,caus,getoutthevot,wa05,support,reid,joy,antifa,potu
372,reduc,screen,goe,kept,mismanag,definit,2nd,somet…,richardstark,number,roadtochang,law,cure,b…,cruellaisdevin,march,amberniblock,everytown,billynra,remov,children,creat,penntrauma,alumn,jessicahbeard,legal,funnysad,govern,school,countri,featur,moss’,tie,randi,gun,nra,to…,fact,democrat,shoot,davidhogg111,that,,what,fight,count,control,💥💥💥,looniesandb,said
373,pursuit,expens,safeti,honesti,question,here’,effect,countri,close,bibl,and…,krassenstein,buffoon,scare,rampant,disrupt,movement,respond,ask,rvawonk,downtown,leader,carrier,prayers”,“thought,least,davidhogg111,total,fk,mental,health,student,common,bail,worstcaseontario,support,amaz,shoot,rule,violenc,scenarios🤦🏽‍♂️,march,sick,mani,rick,dodgerollgam,gun,nra,saytheirnam,6abc
374,survivor,nola,home,valid,convers,this…,3d,joke,health,bleed,floor,dream,died…,prayer,carri,domest,mama,shoot…,weapon,cit…,owilli,highest,money,power,student,chicago,gotta,dramat,promot,russia,smh,annual,festiv,street,valu,realm,survi…,activist,toronto,state,716,thank,nra,law,citi,vice,versa,realdonaldtrump,,proud
375,govern,chicago,zuckerberg,outrag,ceo,prompt,mark,💕ili,america,wont,tulan,survivor,arent,let,birthday,cam,profession,less,repdavidyoung,u…,thehil,honestli,realiz,took,gianno,caldwel,emot,plea,cop,rerejones10,ninamnolen,town…,90,anniversari,obamaday,belat,❤️💯,parkland,heartbreak,soo,senseless,nra,lie,ili,violenc,famili,shoot,evpapu,gun,preach
376,measur,i…,part,school,gu…,similar,eg,brolykogan,clear,creat,often,american…,gang,mocowbel,anoth,gunshot,haymanwood,firearm,pencil…,lie,put,legisl,respond,capit,gazett,selfcaresunday,american,liv…,2013,chicago,wisconsin,tulan,education4lib,mrv636,defi,fate,student,respons,parkland,way,violenc,march,shoot,nra,downtown,none,,true,victim,daelian
377,moepeteamp,afraid,krassenstein,maga,scr…,extern,spoken,fulli,agree…,reduc,incid,neglig,tragic,pissoff,worthi,🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️,republican,blood,work…,politician,mulla,money…,short,creat,preced,widespread,behavior,change…,33000,shot,battl,amount,shockingli,escal,regard,biti,chicago,die,kill,pleas,risk,14,fatal,citi,violenc,gun,nordicann,yaboychuck556,stop,wef
378,secondhand,"us
it",3…,death,student,polit,shame,trade,caus,davidhogg111,discuss,louisvillegun,suck,deficit,borrow,84,police…,object,policeman,offduti,nyc,scene,mrbrodi,conservativeind,krassenstein,ocred2blu,ngvillarr,public,forum,minor,snowdemoman,jaclyncorin,amarch4ourl,primarili,onl…,mocowbel,damienkitten,gregcampnc,grassfedbutt,dstroyru2b,creat,change…,33000,stuntzombi,ftwgfid,american,nra,sundaymorn,"
marchforourl",mbindwan
379,womensmarchi,act,hop…,grand,gg,greats😔,ball,die,hawai’i,bestpotu,obamaday,barackobama’,birthplac,sure,domest,longer…,briaasmithh,commit,jedsawbon,young,instig,prohon,lobbyist,li…,deal,women,democrat,deni,leader,worri,isn’t,head,louisvillegun,grassfedbutt,dstroyru2b,a…,criticize…,ocred2blu,krassenstein,liber,crap,coward,cop,chicago,marchforourl,york,"mark
2a",suck,,research
380,injuriesdeath,hell,ridicul…,tick,proof,dissent,will,skewer,john,blame,oliv,politician,mental,still,wtop,liber,s…,defend,paramount,press,acknowledg,whoradio,iowawatch,connect,radio,stop…,nation,ruin,depriv,kafkatrap,delight,rights…,disast,violenc,american,creat,change…,33000,histor,lows…,firearmrel,shall,celebr,blown,post,give,nra,chicago,shiver,lamontmark
381,14,suntim,fatal,— 3,mama😆min,told,charg,citi,along,country’,surg,econom,pessim,scrowder,benshapiro,thatcanada,viole…,safer,sever,mkultra,apolog,whitehous,anaemia,your,reduc,skern0223,away,mocowbel,dstroyru2b,louisvillegun,33000,change…,american,nrabrok,thoughtsandpray,promot,thought,prayer,chicago,v…,nbcnew,guilti,help,shoot,hollywood,mile22movi,nra,victim,100,spot
382,keep,bitch,citi,1700,year’,pace,500,improv,racism,declar,within,would,import,midterms2018,america,travi,"house
w",lordnot,everyday,ach,victim,american,30,black,notrump,injustic,davidhogg111,fetish,edkrassen,here’,crime,speak,shot,overnight,care,ty,chicago,canada,control,"you
🖕",inventori,rahm,krassenstein,gun,limey,busi,dloesch,,nra,whose
383,lock,insan,evidence…,relationship,moment,yet,bless,wont,congratul,neighbor,convers,countri,sent,death,mpuccinellicbs2,cbschicago,didn’t,krassenstein,report,protest,becki,proud💪👏👏👏👏,prevent,town,12newsnow,part,lost,children,gather,threat,nytim,famili,know,😞😞✊🏾,knowthesign,smh,weapon,earlier,research,“root,causes”,,chicago,violent,🤦🏽‍♂️,descript,kendra,gun,nra,sens
384,resours,zone…,seeif,invad,promot,tire,"sarcasm

i’m",lost,everytown,11yearold,teenag,vio…,,30,everyday,job,ohsweetcinna,jigglypuffjohn,dloesch,result,thelastpersont2,hashtag,davidhogg111,semiautomat,weapon,outlaw,chicago,hour,children,momsdemand,kevin,columnist,stop,congress,repres,seanhann,"
roadtochang","done
sandyhook",alexanderbruz,marycatharin,commentari,nra,sad,die,asl,peopl,poll,usa,adamgoldmannyt,texa
